eventdate,series_name,episode_name,site_name,site_type,starts,siteTypeStarts,nameOfDay,startOfWeek
3/29/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1742,45028,Friday,03/25/19
3/29/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1728,46756,Friday,03/25/19
4/6/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1726,48482,Saturday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1720,7050,Tuesday,04/08/19
4/1/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1694,14508,Monday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1675,50157,Tuesday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1673,51830,Sunday,03/25/19
4/10/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1660,53490,Wednesday,04/08/19
4/10/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1655,55145,Wednesday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1647,7000,Monday,04/08/19
4/7/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1631,56776,Sunday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1619,58395,Wednesday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1612,60007,Tuesday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1611,61618,Sunday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1606,63224,Friday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1606,8656,Friday,04/08/19
4/10/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1603,64827,Wednesday,04/08/19
4/1/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1601,10257,Monday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1595,66422,Wednesday,04/08/19
4/11/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1594,68016,Thursday,04/08/19
4/10/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1592,16100,Wednesday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1589,17689,Wednesday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1587,69603,Thursday,04/08/19
4/10/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1583,11840,Wednesday,04/08/19
4/1/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1579,19268,Monday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1561,20829,Tuesday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1561,71164,Tuesday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1559,13399,Saturday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1553,72717,Friday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1551,74268,Saturday,03/25/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1550,75818,Tuesday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1541,77359,Sunday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1534,22363,Wednesday,04/08/19
3/29/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1533,78892,Friday,03/25/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1504,80396,Wednesday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1500,81896,Monday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1486,83382,Friday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1483,84865,Friday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1479,86344,Thursday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1476,87820,Friday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1471,14870,Friday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1471,89291,Friday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1465,90756,Saturday,03/25/19
4/5/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1458,16328,Friday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1458,8458,Tuesday,04/08/19
4/4/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1457,17785,Thursday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1454,9912,Monday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1453,92209,Tuesday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1449,11361,Saturday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1447,93656,Thursday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1444,23807,Friday,03/25/19
4/8/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1443,12804,Monday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1433,95089,Friday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1430,96519,Wednesday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1429,97948,Wednesday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1419,19204,Friday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1416,99364,Sunday,03/25/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1416,100780,Tuesday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1408,102188,Thursday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1405,25212,Saturday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1403,26615,Saturday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1395,20599,Wednesday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1375,103563,Tuesday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1368,14172,Sunday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1358,27973,Tuesday,04/08/19
4/11/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1358,104921,Thursday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1353,29326,Monday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,1349,21948,Tuesday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,1344,30670,Friday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1336,106257,Wednesday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1330,107587,Sunday,03/25/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1322,108909,Tuesday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1303,110212,Monday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1301,111513,Saturday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,1299,112812,Sunday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1291,15463,Sunday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1278,114090,Wednesday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1271,115361,Sunday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1262,116623,Monday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1260,117883,Monday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1258,119141,Tuesday,04/08/19
4/4/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1227,16690,Thursday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1218,120359,Monday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1218,121577,Monday,04/08/19
3/29/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,1217,122794,Friday,03/25/19
4/7/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1204,23152,Sunday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1193,123987,Sunday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1190,31860,Thursday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1179,125166,Friday,04/08/19
4/11/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1178,126344,Thursday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,1178,17868,Friday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,1174,19042,Sunday,03/25/19
4/9/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1157,24309,Tuesday,04/08/19
4/4/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1155,25464,Thursday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1155,127499,Sunday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1155,33015,Tuesday,04/08/19
4/1/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1150,128649,Monday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,1123,129772,Friday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,1120,130892,Wednesday,04/08/19
4/10/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1115,26579,Wednesday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,1114,27693,Friday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1114,132006,Tuesday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1114,133120,Friday,04/08/19
3/29/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,1112,134232,Friday,03/25/19
4/6/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1108,34123,Saturday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1107,135339,Monday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1107,136446,Friday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1105,35228,Wednesday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1098,36326,Wednesday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,1095,137541,Friday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,1094,138635,Thursday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,1094,139729,Saturday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,1094,37420,Sunday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1093,140822,Wednesday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1093,28786,Friday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,1092,38512,Sunday,03/25/19
4/7/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1090,39602,Sunday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1090,141912,Monday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,DirecTV Everywhere MVPD,MVPD,1079,40681,Friday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1074,29860,Monday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,1049,142961,Tuesday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,1040,30900,Wednesday,04/01/19
4/2/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1035,143996,Tuesday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,1007,31907,Saturday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,1006,145002,Sunday,03/25/19
4/2/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,983,32890,Tuesday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,981,41662,Wednesday,04/01/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,947,145949,Tuesday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,936,33826,Friday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,914,34740,Tuesday,04/01/19
4/12/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,914,146863,Friday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,908,147771,Tuesday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,903,148674,Sunday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,877,149551,Saturday,03/25/19
4/3/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,874,35614,Wednesday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,866,42528,Friday,03/25/19
4/9/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,862,36476,Tuesday,04/08/19
4/11/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,853,37329,Thursday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,848,150399,Friday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,840,151239,Thursday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,838,152077,Sunday,03/25/19
4/8/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,832,38161,Monday,04/08/19
3/30/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,829,152906,Saturday,03/25/19
3/30/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,828,38989,Saturday,03/25/19
4/11/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,822,19864,Thursday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,821,43349,Tuesday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,816,44165,Tuesday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,814,153720,Thursday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,811,154531,Sunday,03/25/19
4/6/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,810,39799,Saturday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,803,155334,Wednesday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,801,40600,Sunday,03/25/19
4/4/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,797,20661,Thursday,04/01/19
4/4/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,796,156130,Thursday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,784,21445,Wednesday,04/01/19
3/31/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,771,156901,Sunday,03/25/19
4/3/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,753,41353,Wednesday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,749,44914,Friday,03/25/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,743,157644,Friday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,731,158375,Saturday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,726,22171,Saturday,03/25/19
4/11/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,726,22897,Thursday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,724,23621,Tuesday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,724,159099,Thursday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,722,159821,Monday,04/08/19
4/5/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,713,24334,Friday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,710,160531,Saturday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,710,45624,Monday,04/08/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,705,161236,Sunday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,703,46327,Sunday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,702,161938,Monday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,689,42042,Sunday,04/01/19
4/10/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,682,47009,Wednesday,04/08/19
3/31/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,680,25014,Sunday,03/25/19
4/4/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,677,162615,Thursday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,674,163289,Friday,03/25/19
4/10/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,665,42707,Wednesday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,641,163930,Wednesday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,623,164553,Monday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Comcast Xfinity MVPD,MVPD,618,47627,Friday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,612,43319,Sunday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,611,165164,Friday,04/01/19
4/7/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,604,165768,Sunday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,576,43895,Saturday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,568,44463,Monday,04/01/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Android Tablet Apps,Watch,564,166332,Tuesday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,562,48189,Monday,04/01/19
4/2/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,550,45013,Tuesday,04/01/19
3/29/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,528,166860,Friday,03/25/19
4/12/19,Blindspot,Eight Slim Grins,Bravo FireTV App,Watch,522,167382,Friday,04/08/19
3/29/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,518,167900,Friday,03/25/19
4/2/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,506,48695,Tuesday,04/01/19
4/6/19,Blindspot,Eight Slim Grins,Bravo Roku App,Watch,501,168401,Saturday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,501,168902,Tuesday,04/08/19
4/6/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,495,169397,Saturday,04/01/19
4/9/19,Blindspot,Eight Slim Grins,Bravo Android TV App,Watch,495,169892,Tuesday,04/08/19
4/4/19,Blindspot,Eight Slim Grins,Bravo Samsung Smart TV App,Watch,492,170384,Thursday,04/01/19
4/5/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,485,45498,Friday,04/01/19
4/8/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,475,45973,Monday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,Verizon FiOS,MVPD,471,49166,Monday,04/08/19
4/8/19,Blindspot,Eight Slim Grins,YouTube TV,DMVPD,467,46440,Monday,04/08/19
4/2/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,440,25454,Tuesday,04/01/19
4/1/19,Blindspot,Eight Slim Grins,SlingTV DMVPD,DMVPD,437,46877,Monday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,436,49602,Saturday,03/25/19
4/4/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,430,170814,Thursday,04/01/19
3/30/19,Blindspot,Eight Slim Grins,Bravo Apple TV App,Watch,421,171235,Saturday,03/25/19
4/8/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,407,171642,Monday,04/08/19
3/30/19,Blindspot,Eight Slim Grins,Bravo iPhone App,Watch,393,172035,Saturday,03/25/19
4/11/19,Blindspot,Eight Slim Grins,Bravo iPad App,Watch,387,172422,Thursday,04/08/19
4/11/19,Blindspot,Eight Slim Grins,DirecTV Now DMVPD,DMVPD,383,47260,Thursday,04/08/19
4/9/19,Blindspot,Eight Slim Grins,Hulu Classic,SVOD,377,25831,Tuesday,04/08/19
4/12/19,Blindspot,Eight Slim Grins,Dish Anywhere MVPD,MVPD,377,49979,Friday,04/08/19
4/3/19,Blindspot,Eight Slim Grins,Hulu Plus,SVOD,375,26206,Wednesday,04/01/19
4/11/19,Blindspot,Eight Slim Grins,Bravo FEP,Watch,361,172783,Thursday,04/08/19
4/7/19,Blindspot,Eight Slim Grins,Sony Vue DMVPD,DMVPD,357,47617,Sunday,04/01/19
4/2/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,342,173125,Tuesday,04/01/19
4/3/19,Blindspot,Eight Slim Grins,Bravo Chromecast App,Watch,337,173462,Wednesday,04/01/19
